,name,product_link,price,image_link,image_name
0, Acer EB192Q 18.5 Inch HD Backlit LED LCD Monitor,https://www.startech.com.bd/acer-eb192q-hd-backlit-led-lcd-monitor,"
8,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/acer/eb192q/eb192q-01-228x228.jpg,Acer EB192Q 18.5 Inch HD Backlit LED LCD Monitor
1," AOC E970SWHEN 18.5"" HDMI LED Monitor",https://www.startech.com.bd/aoc-e970swhen-led-monitor,"
9,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/aoc/e970swhen/e970Swhen-main-228x228.jpg,"AOC E970SWHEN 18.5"" HDMI LED Monitor"
2," Dell D1918H 18.5 Inch LED Monitor (VGA, HDMI)",https://www.startech.com.bd/dell-d1918h-monitor,"
9,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/dell/d1918h/d1918h-01-228x228.jpg,"Dell D1918H 18.5 Inch LED Monitor (VGA, HDMI)"
3, Lenovo D19-10 18.5 Inch HD HDMI VGA Monitor,https://www.startech.com.bd/lenovo-d19-10-wled-monitor,"
9,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/d19-10/d19-10-01-228x228.jpg,Lenovo D19-10 18.5 Inch HD HDMI VGA Monitor
4, Dell E1916HV 18.5 Inch LED Monitor (VGA),https://www.startech.com.bd/dell-e1916hv-18-5-inch--led-monitor,"
9,300৳ ",https://www.startech.com.bd/image/cache/data/MONITOR/DELL22/dell-e1914h-228x228.jpg,Dell E1916HV 18.5 Inch LED Monitor (VGA)
5," PHILIPS 18.5"" 193V5LSB2 LED MONITOR",https://www.startech.com.bd/philips-18.5-inch-led-193v,"
9,600৳ 9,900৳
",https://www.startech.com.bd/image/cache/catalog/monitor/philips/193v/193v-228x228.png,"PHILIPS 18.5"" 193V5LSB2 LED MONITOR"
6," Viewsonic VA1903H 18.5"" FHD LED Monitor ",https://www.startech.com.bd/viewsonic-va1903h-monitor,"
9,999৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va1903h/va1903h-228x228.jpg,"Viewsonic VA1903H 18.5"" FHD LED Monitor "
7," Philips 18.5"" 193V5LHSB2 LED Monitor with HDMI",https://www.startech.com.bd/philips-193v5lhsb2-monitor,"
9,700৳ 10,000৳
",https://www.startech.com.bd/image/cache/catalog/monitor/philips/193v5lhsb2/193v5lhsb2-228x228.png,"Philips 18.5"" 193V5LHSB2 LED Monitor with HDMI"
8," HP P19V G4 18.5"" HD Monitor",https://www.startech.com.bd/hp-p19v-g4-monitor,"
10,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/p19v-g4/p19v-g4-1-228x228.jpg,"HP P19V G4 18.5"" HD Monitor"
9, HP V19 18.5 Inch HD Monitor,https://www.startech.com.bd/hp-v19-hd-monitor,"
10,100৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/v19/v19-01-228x228.jpg,HP V19 18.5 Inch HD Monitor
10, LG 19M38A 18.5 Inch Monitor,https://www.startech.com.bd/lg-19m38a-18.5-inch,"
10,400৳ ",https://www.startech.com.bd/image/cache/catalog/Monitor/LG Monitor/LG 19M38A-228x228.jpg,LG 19M38A 18.5 Inch Monitor
11," LG 20MK400A-B 19.5"" FHD Monitor",https://www.startech.com.bd/lg-20mk400a-b-19-5-inch-monitor,"
10,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/20mk400h-b/20mk400h-b-228x228.jpg,"LG 20MK400A-B 19.5"" FHD Monitor"
12," Dell E2016HV 19.5"" LED Monitor",https://www.startech.com.bd/dell-e2016hv-19-5-inch--led-monitor,"
10,900৳ ",https://www.startech.com.bd/image/cache/data/MONITOR/DELL 19.5 LED E2015HV-500x500-228x228.jpg,"Dell E2016HV 19.5"" LED Monitor"
